user_id,variant,installed,signup,activated,purchase
1,A,1,1,1,1
2,B,1,0,0,0
3,A,1,1,1,0
4,A,1,1,1,0
5,A,1,0,0,0
6,B,1,1,0,0
7,A,1,1,1,0
8,A,1,0,0,0
9,A,1,1,1,0
10,B,1,0,0,0
11,A,1,0,0,0
12,A,1,1,0,0
13,A,1,0,0,0
14,A,1,1,1,0
15,B,1,0,0,0
16,A,1,1,0,0
17,B,1,1,1,0
18,B,1,1,1,1
19,B,1,0,0,0
20,A,1,1,1,0
21,B,1,0,0,0
22,A,1,0,0,0
23,B,1,1,1,0
24,B,1,1,0,0
25,B,1,0,0,0
26,B,1,1,1,0
27,B,1,1,1,0
28,B,1,0,0,0
29,B,1,1,1,0
30,B,1,0,0,0
31,A,1,1,1,0
32,A,1,1,1,0
33,B,1,1,1,0
34,B,1,1,1,0
35,B,1,0,0,0
36,A,1,1,0,0
37,B,1,0,0,0
38,A,1,0,0,0
39,A,1,1,1,0
40,A,1,1,1,0
41,A,1,1,1,0
42,A,1,1,1,0
43,B,1,0,0,0
44,B,1,0,0,0
45,B,1,1,1,0
46,B,1,1,1,0
47,B,1,1,0,0
48,A,1,0,0,0
49,B,1,1,0,0
50,B,1,1,0,0
51,A,1,0,0,0
52,B,1,1,1,0
53,A,1,1,0,0
54,B,1,0,0,0
55,A,1,0,0,0
56,B,1,0,0,0
57,B,1,1,1,0
58,A,1,0,0,0
59,A,1,0,0,0
60,A,1,1,0,0
61,A,1,1,0,0
62,A,1,1,0,0
63,A,1,0,0,0
64,A,1,0,0,0
65,A,1,0,0,0
66,B,1,1,0,0
67,B,1,1,0,0
68,A,1,0,0,0
69,B,1,0,0,0
70,B,1,0,0,0
71,B,1,1,1,1
72,B,1,0,0,0
73,A,1,0,0,0
74,B,1,1,0,0
75,A,1,0,0,0
76,B,1,0,0,0
77,B,1,0,0,0
78,B,1,0,0,0
79,A,1,0,0,0
80,B,1,0,0,0
81,A,1,0,0,0
82,B,1,0,0,0
83,A,1,1,1,1
84,B,1,1,1,1
85,A,1,1,1,0
86,A,1,1,0,0
87,B,1,1,1,0
88,A,1,1,0,0
89,B,1,1,1,1
90,B,1,0,0,0
91,B,1,0,0,0
92,B,1,0,0,0
93,B,1,1,0,0
94,B,1,1,0,0
95,B,1,1,1,0
96,B,1,0,0,0
97,B,1,1,1,0
98,B,1,1,1,0
99,B,1,1,0,0
100,A,1,0,0,0
101,A,1,1,0,0
102,B,1,1,1,0
103,B,1,0,0,0
104,B,1,1,0,0
105,B,1,1,1,1
106,B,1,1,0,0
107,B,1,1,1,0
108,B,1,1,1,1
109,B,1,0,0,0
110,A,1,0,0,0
111,B,1,0,0,0
112,A,1,0,0,0
113,B,1,1,0,0
114,B,1,0,0,0
115,A,1,0,0,0
116,B,1,1,1,0
117,A,1,0,0,0
118,B,1,1,0,0
119,B,1,0,0,0
120,A,1,0,0,0
121,B,1,0,0,0
122,A,1,1,1,1
123,B,1,1,1,1
124,A,1,1,0,0
125,A,1,0,0,0
126,B,1,0,0,0
127,B,1,1,0,0
128,A,1,1,1,1
129,B,1,1,0,0
130,B,1,1,0,0
131,B,1,0,0,0
132,A,1,1,1,0
133,A,1,0,0,0
134,A,1,0,0,0
135,A,1,1,0,0
136,A,1,1,1,0
137,A,1,1,1,1
138,A,1,1,1,1
139,A,1,1,1,0
140,A,1,1,1,1
141,B,1,1,1,0
142,A,1,0,0,0
143,B,1,0,0,0
144,B,1,0,0,0
145,B,1,1,1,0
146,A,1,0,0,0
147,A,1,1,1,0
148,A,1,1,1,0
